0.1485558,0,_,_,_,0.02,				RECORDED AT FRAME:5
0.835244,0,_,_,_,0.02,				RECORDED AT FRAME:208
0.8994763,0,_,_,_,0.02,				RECORDED AT FRAME:209
0.9568784,0,_,_,_,0.02,				RECORDED AT FRAME:210
0.9568784,0,_,_,_,0.02,				RECORDED AT FRAME:210
1,0,_,_,_,0.02,				RECORDED AT FRAME:211
1,0,_,_,_,0.02,				RECORDED AT FRAME:212
1,0,_,_,_,0.02,				RECORDED AT FRAME:213
1,0,Jump,_,_,0.02,				RECORDED AT FRAME:214
1,0,Jump,_,_,0.02,				RECORDED AT FRAME:214
1,0,_,_,_,0.02,				RECORDED AT FRAME:215
1,0,_,_,_,0.02,				RECORDED AT FRAME:216
1,0,_,_,_,0.02,				RECORDED AT FRAME:217
1,0,_,_,_,0.02,				RECORDED AT FRAME:218
1,0,_,_,_,0.02,				RECORDED AT FRAME:218
1,0,_,_,_,0.02,				RECORDED AT FRAME:219
1,0,_,_,_,0.02,				RECORDED AT FRAME:219
1,0,_,_,_,0.02,				RECORDED AT FRAME:220
1,0,_,_,_,0.02,				RECORDED AT FRAME:221
1,0,_,_,_,0.02,				RECORDED AT FRAME:222
1,0,_,_,_,0.02,				RECORDED AT FRAME:223
1,0,_,_,_,0.02,				RECORDED AT FRAME:224
1,0,_,_,_,0.02,				RECORDED AT FRAME:224
1,0,_,_,_,0.02,				RECORDED AT FRAME:225
1,0,_,_,_,0.02,				RECORDED AT FRAME:226
1,0,_,_,_,0.02,				RECORDED AT FRAME:227
1,0,_,_,_,0.02,				RECORDED AT FRAME:228
1,0,_,_,_,0.02,				RECORDED AT FRAME:229
1,0,_,_,_,0.02,				RECORDED AT FRAME:230
1,0,_,_,_,0.02,				RECORDED AT FRAME:230
1,0,_,_,_,0.02,				RECORDED AT FRAME:231
1,0,_,_,_,0.02,				RECORDED AT FRAME:232
1,0,_,_,_,0.02,				RECORDED AT FRAME:233
1,0,_,_,_,0.02,				RECORDED AT FRAME:233
0.9103941,0,_,_,_,0.02,				RECORDED AT FRAME:234
0.8079918,0,_,_,_,0.02,				RECORDED AT FRAME:235
0.8079918,0,_,_,_,0.02,				RECORDED AT FRAME:235
0.734073,0,_,_,_,0.02,				RECORDED AT FRAME:236
0.644927,0,_,_,_,0.02,				RECORDED AT FRAME:237
